zone,hour,cluster,count
15643,17,MON,2222
15643,18,MON,2358
15643,19,MON,2434
15643,20,MON,2422
15643,21,MON,2378
15643,22,MON,2199
15643,23,MON,2045
15643,0,MON,1950
15644,1,MON,3156
15644,2,MON,2820
15644,3,MON,2999
15644,4,MON,3250
15644,5,MON,3694
15644,6,MON,4042
15644,7,MON,3840
15644,8,MON,3343
15644,9,MON,3050
15644,10,MON,2990
15644,11,MON,2931
15644,12,MON,2932
15644,13,MON,2959
15644,14,MON,3111
15644,15,MON,3241
15644,16,MON,3475
15644,17,MON,3758
15644,18,MON,4029
15644,19,MON,4077
15644,20,MON,4129
15644,21,MON,4087
15644,22,MON,3824
15644,23,MON,3572
15644,0,MON,3461
15645,1,MON,3823
15645,2,MON,3364
15645,3,MON,3469
15645,4,MON,3927
15645,5,MON,4446
15645,6,MON,4730
15645,7,MON,4576
15645,8,MON,4206
15645,9,MON,4062
15645,10,MON,4164
15645,11,MON,4147
15645,12,MON,4223
15645,13,MON,4222
15645,14,MON,4340
15645,15,MON,4538
15645,16,MON,4660
15645,17,MON,4776
15645,18,MON,4923
15645,19,MON,4848
15645,20,MON,4793
15645,21,MON,4756
15645,22,MON,4624
15645,23,MON,4418
15645,0,MON,4231
15646,1,MON,3247
15646,2,MON,2762
15646,3,MON,2792
15646,4,MON,3265
15646,5,MON,3859
15646,6,MON,4355
15646,7,MON,4633
15646,8,MON,4696
15646,9,MON,4863
15646,10,MON,5127
15646,11,MON,5273
15646,12,MON,5311
15646,13,MON,5332
15646,14,MON,5465
15646,15,MON,5682
15646,16,MON,5777
15646,17,MON,5786
15646,18,MON,5527
15646,19,MON,4964
15646,20,MON,4713
15646,21,MON,4365
15646,22,MON,4083
15646,23,MON,3807
15646,0,MON,3681
15675,1,MON,1834
15675,2,MON,1649
15675,3,MON,1699
15675,4,MON,1861
15675,5,MON,2157
15675,6,MON,2354
15675,7,MON,2210
15675,8,MON,1976
15675,9,MON,1789
15675,10,MON,1759
15675,11,MON,1779
15675,12,MON,1767
15675,13,MON,1841
15675,14,MON,1853
15675,15,MON,1908
15675,16,MON,2109
15675,17,MON,2253
15675,18,MON,2358
15675,19,MON,2371
15675,20,MON,2354
15675,21,MON,2300
15675,22,MON,2173
